Capacity data calculated from MERRA-2,,,,,0.264906501
,,,,,
BEGIN_DATA,,,,,
year,month,day,hour,s_cfs,
2018,1,20,21,0.67455232,
2018,1,20,22,0.558643468,
2018,1,20,23,0.072368428,
2018,1,20,24,0,
2018,1,21,1,0,
2018,1,21,2,0,
2018,1,21,3,0,
2018,1,21,4,0,
2018,1,21,5,0,
2018,1,21,6,0,
2018,1,21,7,0,
2018,1,21,8,0,
2018,1,21,9,0,
2018,1,21,10,0,
2018,1,21,11,0,
2018,1,21,12,0,
2018,1,21,13,5.40E-06,
2018,1,21,14,0.32684119,
2018,1,21,15,0.665766977,
2018,1,21,16,0.69691244,
2018,1,21,17,0.657846545,
2018,1,21,18,0.641320139,
2018,1,21,19,0.648281545,
2018,1,21,20,0.669081014,
2018,1,21,21,0.703735253,
2018,1,21,22,0.583759062,
2018,1,21,23,0.066202031,
2018,1,21,24,0,
2018,1,22,1,0,
2018,1,22,2,0,
2018,1,22,3,0,
2018,1,22,4,0,
2018,1,22,5,0,
2018,1,22,6,0,
2018,1,22,7,0,
2018,1,22,8,0,
2018,1,22,9,0,
2018,1,22,10,0,
2018,1,22,11,0,
2018,1,22,12,0,
2018,1,22,13,0.000154139,
2018,1,22,14,0.401386099,
2018,1,22,15,0.736123996,
2018,1,22,16,0.722284804,
2018,1,22,17,0.684146706,
2018,1,22,18,0.664067023,
2018,1,22,19,0.668258763,
2018,1,22,20,0.686173973,
2018,1,22,21,0.717297303,
2018,1,22,22,0.567572953,
2018,1,22,23,0.072907378,
2018,1,22,24,0,
2018,1,23,1,0,
2018,1,23,2,0,
2018,1,23,3,0,
2018,1,23,4,0,
2018,1,23,5,0,
2018,1,23,6,0,
2018,1,23,7,0,
2018,1,23,8,0,
2018,1,23,9,0,
2018,1,23,10,0,
2018,1,23,11,0,
2018,1,23,12,0,
2018,1,23,13,0.000195073,
2018,1,23,14,0.386565347,
2018,1,23,15,0.726063684,
2018,1,23,16,0.71077984,
2018,1,23,17,0.682485259,
2018,1,23,18,0.660537083,
2018,1,23,19,0.663345505,
2018,1,23,20,0.678172866,
2018,1,23,21,0.718635648,
2018,1,23,22,0.575026179,
2018,1,23,23,0.083943807,
2018,1,23,24,0,
2018,1,24,1,0,
2018,1,24,2,0,
2018,1,24,3,0,
2018,1,24,4,0,
2018,1,24,5,0,
2018,1,24,6,0,
2018,1,24,7,0,
2018,1,24,8,0,
2018,1,24,9,0,
2018,1,24,10,0,
2018,1,24,11,0,
2018,1,24,12,0,
2018,1,24,13,0.000265335,
2018,1,24,14,0.414291135,
2018,1,24,15,0.739126137,
2018,1,24,16,0.715136459,
2018,1,24,17,0.681396084,
2018,1,24,18,0.659663867,
2018,1,24,19,0.662893109,
2018,1,24,20,0.677498241,
2018,1,24,21,0.721046629,
2018,1,24,22,0.565159412,
2018,1,24,23,0.086843534,
2018,1,24,24,0,
2018,1,25,1,0,
2018,1,25,2,0,
2018,1,25,3,0,
2018,1,25,4,0,
2018,1,25,5,0,
2018,1,25,6,0,
2018,1,25,7,0,
2018,1,25,8,0,
2018,1,25,9,0,
2018,1,25,10,0,
2018,1,25,11,0,
2018,1,25,12,0,
2018,1,25,13,0.0003638,
2018,1,25,14,0.409487133,
2018,1,25,15,0.719808243,
2018,1,25,16,0.722353174,
2018,1,25,17,0.671153431,
2018,1,25,18,0.644032549,
2018,1,25,19,0.641337884,
2018,1,25,20,0.653721515,
2018,1,25,21,0.655600666,
2018,1,25,22,0.545223109,
2018,1,25,23,0.085293315,
2018,1,25,24,0,
2018,1,26,1,0,
2018,1,26,2,0,
2018,1,26,3,0,
2018,1,26,4,0,
2018,1,26,5,0,
2018,1,26,6,0,
2018,1,26,7,0,
2018,1,26,8,0,
2018,1,26,9,0,
2018,1,26,10,0,
2018,1,26,11,0,
2018,1,26,12,0,
2018,1,26,13,4.76E-06,
2018,1,26,14,0.100554561,
2018,1,26,15,0.364331263,
2018,1,26,16,0.558619929,
2018,1,26,17,0.624762574,
2018,1,26,18,0.609354952,
2018,1,26,19,0.601238434,
2018,1,26,20,0.604978571,
2018,1,26,21,0.570734031,
2018,1,26,22,0.407181875,
2018,1,26,23,0.086614049,
2018,1,26,24,0,
2018,1,27,1,0,
2018,1,27,2,0,
2018,1,27,3,0,
2018,1,27,4,0,
2018,1,27,5,0,
2018,1,27,6,0,
2018,1,27,7,0,
2018,1,27,8,0,
2018,1,27,9,0,
2018,1,27,10,0,
2018,1,27,11,0,
2018,1,27,12,0,
2018,1,27,13,0.000373258,
2018,1,27,14,0.374002324,
2018,1,27,15,0.68714638,
2018,1,27,16,0.71819213,
2018,1,27,17,0.683068779,
2018,1,27,18,0.659657495,
2018,1,27,19,0.662376547,
2018,1,27,20,0.685205763,
2018,1,27,21,0.717894332,
2018,1,27,22,0.563897261,
2018,1,27,23,0.106311187,
2018,1,27,24,0,
2018,1,28,1,0,
2018,1,28,2,0,
2018,1,28,3,0,
2018,1,28,4,0,
2018,1,28,5,0,
2018,1,28,6,0,
2018,1,28,7,0,
2018,1,28,8,0,
2018,1,28,9,0,
2018,1,28,10,0,
2018,1,28,11,0,
2018,1,28,12,0,
2018,1,28,13,0.000439487,
2018,1,28,14,0.401746158,
2018,1,28,15,0.73838977,
2018,1,28,16,0.73100467,
2018,1,28,17,0.685027849,
2018,1,28,18,0.664719796,
2018,1,28,19,0.666861612,
2018,1,28,20,0.682273295,
2018,1,28,21,0.720832523,
2018,1,28,22,0.561618253,
2018,1,28,23,0.10364104,
2018,1,28,24,0,
2018,1,29,1,0,
2018,1,29,2,0,
2018,1,29,3,0,
2018,1,29,4,0,
2018,1,29,5,0,
2018,1,29,6,0,
2018,1,29,7,0,
2018,1,29,8,0,
2018,1,29,9,0,
2018,1,29,10,0,
2018,1,29,11,0,
2018,1,29,12,0,
2018,1,29,13,0.000446905,
2018,1,29,14,0.451202855,
2018,1,29,15,0.742268415,
2018,1,29,16,0.747980147,
2018,1,29,17,0.695517835,
2018,1,29,18,0.671352779,
2018,1,29,19,0.672265311,
2018,1,29,20,0.690344743,
2018,1,29,21,0.721069499,
2018,1,29,22,0.6293065,
2018,1,29,23,0.150403904,
2018,1,29,24,0,
2018,1,30,1,0,
2018,1,30,2,0,
2018,1,30,3,0,
2018,1,30,4,0,
2018,1,30,5,0,
2018,1,30,6,0,
2018,1,30,7,0,
2018,1,30,8,0,
2018,1,30,9,0,
2018,1,30,10,0,
2018,1,30,11,0,
2018,1,30,12,0,
2018,1,30,13,0.000465492,
2018,1,30,14,0.493180459,
2018,1,30,15,0.734256287,
2018,1,30,16,0.731476241,
2018,1,30,17,0.683569315,
