Capacity data calculated from MERRA-2,,,,,0.290038509
,,,,,
BEGIN_DATA,,,,,
year,month,day,hour,s_cfs,
2018,1,23,13,0,
2018,1,23,14,0,
2018,1,23,15,0.444171247,
2018,1,23,16,0.676533322,
2018,1,23,17,0.695873222,
2018,1,23,18,0.637520633,
2018,1,23,19,0.611928989,
2018,1,23,20,0.611316141,
2018,1,23,21,0.638647827,
2018,1,23,22,0.662780962,
2018,1,23,23,0.509214239,
2018,1,23,24,0.058821573,
2018,1,24,1,0,
2018,1,24,2,0,
2018,1,24,3,0,
2018,1,24,4,0,
2018,1,24,5,0,
2018,1,24,6,0,
2018,1,24,7,0,
2018,1,24,8,0,
2018,1,24,9,0,
2018,1,24,10,0,
2018,1,24,11,0,
2018,1,24,12,0,
2018,1,24,13,0,
2018,1,24,14,0,
2018,1,24,15,0.474025882,
2018,1,24,16,0.691237943,
2018,1,24,17,0.690799059,
2018,1,24,18,0.645305669,
2018,1,24,19,0.61492104,
2018,1,24,20,0.604514449,
2018,1,24,21,0.608927765,
2018,1,24,22,0.635763821,
2018,1,24,23,0.422275233,
2018,1,24,24,0.054060848,
2018,1,25,1,0,
2018,1,25,2,0,
2018,1,25,3,0,
2018,1,25,4,0,
2018,1,25,5,0,
2018,1,25,6,0,
2018,1,25,7,0,
2018,1,25,8,0,
2018,1,25,9,0,
2018,1,25,10,0,
2018,1,25,11,0,
2018,1,25,12,0,
2018,1,25,13,0,
2018,1,25,14,0,
2018,1,25,15,0.297365931,
2018,1,25,16,0.47183985,
2018,1,25,17,0.569099508,
2018,1,25,18,0.589400644,
2018,1,25,19,0.595988176,
2018,1,25,20,0.605024975,
2018,1,25,21,0.637938017,
2018,1,25,22,0.640072701,
2018,1,25,23,0.48140189,
2018,1,25,24,0.055205026,
2018,1,26,1,0,
2018,1,26,2,0,
2018,1,26,3,0,
2018,1,26,4,0,
2018,1,26,5,0,
2018,1,26,6,0,
2018,1,26,7,0,
2018,1,26,8,0,
2018,1,26,9,0,
2018,1,26,10,0,
2018,1,26,11,0,
2018,1,26,12,0,
2018,1,26,13,0,
2018,1,26,14,5.56E-07,
2018,1,26,15,0.449039643,
2018,1,26,16,0.69763074,
2018,1,26,17,0.70350293,
2018,1,26,18,0.653973552,
2018,1,26,19,0.615901202,
2018,1,26,20,0.609093619,
2018,1,26,21,0.619218452,
2018,1,26,22,0.639937959,
2018,1,26,23,0.497713126,
2018,1,26,24,0.052360127,
2018,1,27,1,0,
2018,1,27,2,0,
2018,1,27,3,0,
2018,1,27,4,0,
2018,1,27,5,0,
2018,1,27,6,0,
2018,1,27,7,0,
2018,1,27,8,0,
2018,1,27,9,0,
2018,1,27,10,0,
2018,1,27,11,0,
2018,1,27,12,0,
2018,1,27,13,0,
2018,1,27,14,1.35E-05,
2018,1,27,15,0.459914035,
2018,1,27,16,0.667282913,
2018,1,27,17,0.694962634,
2018,1,27,18,0.646439251,
2018,1,27,19,0.615259254,
2018,1,27,20,0.61831038,
2018,1,27,21,0.655591553,
2018,1,27,22,0.685485025,
2018,1,27,23,0.547997813,
2018,1,27,24,0.059090312,
2018,1,28,1,0,
2018,1,28,2,0,
2018,1,28,3,0,
2018,1,28,4,0,
2018,1,28,5,0,
2018,1,28,6,0,
2018,1,28,7,0,
2018,1,28,8,0,
2018,1,28,9,0,
2018,1,28,10,0,
2018,1,28,11,0,
2018,1,28,12,0,
2018,1,28,13,0,
2018,1,28,14,2.58E-05,
2018,1,28,15,0.469160973,
2018,1,28,16,0.687989278,
2018,1,28,17,0.69157437,
2018,1,28,18,0.642562809,
2018,1,28,19,0.615123145,
2018,1,28,20,0.616943748,
2018,1,28,21,0.646075613,
2018,1,28,22,0.679786266,
2018,1,28,23,0.522553805,
2018,1,28,24,0.085576736,
2018,1,29,1,0,
2018,1,29,2,0,
2018,1,29,3,0,
2018,1,29,4,0,
2018,1,29,5,0,
2018,1,29,6,0,
2018,1,29,7,0,
2018,1,29,8,0,
2018,1,29,9,0,
2018,1,29,10,0,
2018,1,29,11,0,
2018,1,29,12,0,
2018,1,29,13,0,
2018,1,29,14,4.35E-05,
2018,1,29,15,0.394316313,
2018,1,29,16,0.570485695,
2018,1,29,17,0.615920637,
2018,1,29,18,0.583390208,
2018,1,29,19,0.559286092,
2018,1,29,20,0.556104059,
2018,1,29,21,0.558043798,
2018,1,29,22,0.516678962,
2018,1,29,23,0.363064984,
2018,1,29,24,0.085477284,
2018,1,30,1,0,
2018,1,30,2,0,
2018,1,30,3,0,
2018,1,30,4,0,
2018,1,30,5,0,
2018,1,30,6,0,
2018,1,30,7,0,
2018,1,30,8,0,
2018,1,30,9,0,
2018,1,30,10,0,
2018,1,30,11,0,
2018,1,30,12,0,
2018,1,30,13,0,
2018,1,30,14,3.77E-05,
2018,1,30,15,0.217923442,
2018,1,30,16,0.4165963,
2018,1,30,17,0.513414391,
2018,1,30,18,0.528607221,
2018,1,30,19,0.516892053,
2018,1,30,20,0.521433712,
2018,1,30,21,0.527160982,
2018,1,30,22,0.516363024,
2018,1,30,23,0.411254316,
2018,1,30,24,0.086819576,
2018,1,31,1,0,
2018,1,31,2,0,
2018,1,31,3,0,
2018,1,31,4,0,
2018,1,31,5,0,
2018,1,31,6,0,
2018,1,31,7,0,
2018,1,31,8,0,
2018,1,31,9,0,
2018,1,31,10,0,
2018,1,31,11,0,
2018,1,31,12,0,
2018,1,31,13,0,
2018,1,31,14,0.00010421,
2018,1,31,15,0.42845684,
2018,1,31,16,0.690906374,
2018,1,31,17,0.696966334,
2018,1,31,18,0.643744835,
2018,1,31,19,0.619195297,
2018,1,31,20,0.621007007,
2018,1,31,21,0.632829209,
2018,1,31,22,0.641846609,
2018,1,31,23,0.499908267,
2018,1,31,24,0.119233597,
2018,2,1,1,0,
2018,2,1,2,0,
2018,2,1,3,0,
2018,2,1,4,0,
2018,2,1,5,0,
2018,2,1,6,0,
2018,2,1,7,0,
2018,2,1,8,0,
2018,2,1,9,0,
2018,2,1,10,0,
2018,2,1,11,0,
2018,2,1,12,0,
2018,2,1,13,0,
2018,2,1,14,0.000139987,
2018,2,1,15,0.353505205,
2018,2,1,16,0.604366821,
2018,2,1,17,0.673100041,
2018,2,1,18,0.629315895,
